codmpio,depto,provincia,altura,region
5001,Antioquia,Valle del aburra,1486,Andina
5002,Antioquia,Oriente,2125,Andina
5004,Antioquia,Occidente,1920,Andina
5021,Antioquia,Oriente,1650,Andina
5030,Antioquia,Suroeste,1392,Andina
5031,Antioquia,Nordeste,1550,Andina
5034,Antioquia,Suroeste,1357,Andina
5036,Antioquia,Suroeste,1917,Andina
5038,Antioquia,Norte,1637,Andina
5040,Antioquia,Nordeste,1535,Andina
5042,Antioquia,Occidente,550,Andina
5044,Antioquia,Occidente,620,Andina
5045,Antioquia,Urabá,80,Andina
5051,Antioquia,Urabá,4,Andina
5055,Antioquia,Oriente,1750,Andina
5059,Antioquia,Occidente,1808,Andina
5079,Antioquia,Valle del aburra,1301,Andina
5086,Antioquia,Norte,2520,Andina
5088,Antioquia,Valle del aburra,1495,Andina
5091,Antioquia,Suroeste,1150,Andina
5093,Antioquia,Suroeste,1615,Andina
5101,Antioquia,Suroeste,1230,Andina
5107,Antioquia,Norte,2265,Andina
5113,Antioquia,Occidente,1643,Andina
5120,Antioquia,Bajo cauca,85,Andina
5125,Antioquia,Suroeste,1820,Andina
5129,Antioquia,Valle del aburra,1750,Andina
5134,Antioquia,Norte,1700,Andina
5138,Antioquia,Occidente,1300,Andina
5142,Antioquia,Magdalena medio,651,Andina
5145,Antioquia,Suroeste,2115,Andina
5147,Antioquia,Urabá,40,Andina
5148,Antioquia,Oriente,2150,Andina
5150,Antioquia,Norte,1807,Andina
5154,Antioquia,Bajo cauca,50,Andina
5172,Antioquia,Urabá,40,Andina
5190,Antioquia,Nordeste,1038,Andina
5197,Antioquia,Oriente,1286,Andina
5206,Antioquia,Oriente,1862,Andina
5209,Antioquia,Suroeste,2000,Andina
5212,Antioquia,Valle del aburra,1407,Andina
5234,Antioquia,Occidente,450,Andina
5237,Antioquia,Norte,2156,Andina
5240,Antioquia,Occidente,1125,Andina
5250,Antioquia,Bajo cauca,52,Andina
5264,Antioquia,Norte,2300,Andina
5266,Antioquia,Valle del aburra,1550,Andina
5282,Antioquia,Suroeste,1800,Andina
5284,Antioquia,Occidente,1317,Andina
5306,Antioquia,Occidente,1932,Andina
5308,Antioquia,Valle del aburra,1351,Andina
5310,Antioquia,Norte,1828,Andina
5313,Antioquia,Oriente,2050,Andina
5315,Antioquia,Norte,1850,Andina
5318,Antioquia,Oriente,2150,Andina
5321,Antioquia,Oriente,1850,Andina
5347,Antioquia,Occidente,1440,Andina
5353,Antioquia,Suroeste,1570,Andina
5360,Antioquia,Valle del aburra,1569,Andina
5361,Antioquia,Norte,1575,Andina
5364,Antioquia,Suroeste,1805,Andina
5368,Antioquia,Suroeste,1967,Andina
5376,Antioquia,Oriente,2179,Andina
5380,Antioquia,Valle del aburra,1763,Andina
5390,Antioquia,Suroeste,1763,Andina
5400,Antioquia,Oriente,2473,Andina
5411,Antioquia,Occidente,820,Andina
5425,Antioquia,Magdalena medio,950,Andina
5440,Antioquia,Oriente,2100,Andina
5467,Antioquia,Suroeste,2350,Andina
5475,Antioquia,Urabá,23,Andina
5480,Antioquia,Urabá,66,Andina
5483,Antioquia,Oriente,1900,Andina
5490,Antioquia,Urabá,2,Andina
5495,Antioquia,Bajo cauca,2,Andina
5501,Antioquia,Occidente,430,Andina
5541,Antioquia,Oriente,1900,Andina
5543,Antioquia,Occidente,1200,Andina
5576,Antioquia,Suroeste,1570,Andina
5579,Antioquia,Magdalena medio,123,Andina
5585,Antioquia,Magdalena medio,123,Andina
5591,Antioquia,Magdalena medio,506,Andina
5604,Antioquia,Nordeste,506,Andina
5607,Antioquia,Oriente,2179,Andina
5615,Antioquia,Oriente,2120,Andina
5628,Antioquia,Occidente,1250,Andina
5631,Antioquia,Valle del aburra,1600,Andina
5642,Antioquia,Suroeste,1270,Andina
5647,Antioquia,Norte,1530,Andina
5649,Antioquia,Oriente,1010,Andina
5652,Antioquia,Oriente,1286,Andina
5656,Antioquia,Occidente,750,Andina
5658,Antioquia,Norte,2580,Andina
5659,Antioquia,Urabá,4,Andina
5660,Antioquia,Oriente,1050,Andina
5664,Antioquia,Norte,2450,Andina
5665,Antioquia,Urabá,4,Andina
5667,Antioquia,Oriente,1000,Andina
5670,Antioquia,Nordeste,1471,Andina
5674,Antioquia,Oriente,1197,Andina
5679,Antioquia,Suroeste,1806,Andina
5686,Antioquia,Norte,2587,Andina
5690,Antioquia,Nordeste,1950,Andina
5697,Antioquia,Oriente,2100,Andina
5736,Antioquia,Nordeste,650,Andina
5756,Antioquia,Oriente,2475,Andina
5761,Antioquia,Occidente,725,Andina
