"id_row","p"
2,1
5,1
8,0
12,1
15,1
17,1
19,0
22,1
27,1
29,0
30,0
31,0
36,1
37,0
38,0
39,0
46,0
52,1
53,0
58,1
61,1
63,0
72,0
74,0
78,1
84,0
88,0
92,1
94,1
105,0
107,0
108,0
109,1
111,0
113,1
117,0
118,1
120,0
121,1
125,0
127,0
130,0
132,0
135,1
136,1
137,0
138,1
140,0
143,1
150,1
152,0
155,0
157,0
159,0
163,1
169,1
170,1
171,1
176,0
180,1
183,1
185,1
186,0
188,1
197,1
199,0
201,0
204,0
208,1
217,1
219,1
226,1
231,1
232,1
233,1
234,1
239,1
240,0
243,0
244,1
247,0
250,1
259,1
261,1
268,1
272,0
276,1
280,0
282,1
295,1
299,1
309,0
310,0
314,0
315,1
316,0
320,0
331,0
335,1
336,0
337,0
339,0
341,1
345,1
348,0
356,1
357,1
362,1
366,1
367,0
372,0
375,1
380,1
383,0
384,1
386,0
388,0
390,1
391,0
392,0
397,1
402,1
403,1
404,1
405,1
406,1
408,0
412,1
413,0
414,0
417,1
419,1
427,1
435,0
438,1
446,0
448,0
450,0
451,1
454,1
458,1
461,0
463,1
467,0
469,0
472,0
474,0
476,0
479,0
481,1
486,1
487,1
488,1
496,1
498,1
499,1
515,0
519,1
522,0
523,1
525,0
526,0
529,0
540,1
547,1
550,0
553,1
556,1
560,1
562,0
563,0
564,0
566,1
568,0
569,1
570,1
571,1
579,0
581,0
582,0
590,1
591,0
593,1
595,0
596,0
598,0
602,1
606,1
608,1
609,1
611,0
624,0
626,1
627,0
634,1
635,1
637,1
638,1
640,1
641,1
642,0
644,1
647,0
655,0
659,0
661,0
665,0
666,1
670,1
671,1
675,1
677,1
683,1
687,0
689,1
692,0
694,1
697,0
698,0
701,0
702,1
709,1
712,1
715,1
718,1
724,1
725,0
732,1
734,1
735,1
737,0
744,1
745,0
754,0
761,0
765,1
766,1
768,0
769,1
776,1
782,0
787,1
789,1
790,1
792,1
804,1
805,1
808,1
809,1
810,0
811,0
815,0
817,1
818,0
819,0
822,1
836,1
839,1
841,1
844,1
850,1
855,1
862,0
863,1
864,0
865,0
867,0
870,1
871,1
873,1
877,1
881,0
883,0
885,1
890,1
891,1
895,0
899,1
900,1
903,1
905,0
907,1
912,0
916,0
918,0
923,1
924,1
925,1
926,1
927,1
929,1
932,0
948,1
956,1
969,1
981,1
982,0
983,1
986,1
987,1
993,1
996,1
1015,1
1020,1
1023,0
1027,1
1029,0
1031,0
1032,1
1036,1
1037,1
1038,1
1041,0
1042,0
1045,1
1047,1
1053,1
1055,1
1056,1
1058,1
1060,0
1061,1
1063,0
1068,1
1070,1
1071,1
1073,0
1077,1
1079,1
1080,0
1081,1
1082,1
1084,0
1085,0
1091,0
1092,0
1095,1
1107,0
1108,0
1111,1
1119,0
1121,0
1124,1
1126,1
1129,1
1143,1
1144,1
1145,1
1150,0
1159,1
1163,0
1170,0
1171,1
1177,1
1180,1
1182,1
1183,0
1189,1
1193,0
1194,1
1197,1
1202,1
1203,1
1205,0
1209,0
1211,1
1212,1
1213,1
1220,0
1222,1
1223,0
1224,1
1226,0
1228,1
1231,0
1243,1
1248,0
1254,0
1260,0
1264,1
1268,1
1269,1
1276,1
1278,0
1280,1
1294,1
1302,1
1312,1
1324,0
1327,0
1328,0
1338,0
1342,1
1343,1
1348,0
1350,0
1351,0
1353,0
1360,0
1364,1
1365,0
1366,0
1367,1
1377,0
1384,1
1386,0
1391,1
1394,1
1396,0
1397,0
1399,1
1407,1
1408,1
1412,0
1413,1
1415,1
1419,0
1427,1
1428,1
1429,1
1431,0
1432,1
1436,0
1438,0
1439,1
1441,1
1442,0
1443,1
1446,1
1447,0
1448,1
1449,1
1450,0
1451,1
1459,0
1461,1
1465,1
1466,1
1477,0
1478,0
1489,1
1494,1
1502,0
1503,1
1504,1
1505,0
1519,1
1528,1
1534,1
1535,0
1539,1
1540,1
1542,1
1544,1
1546,1
1547,0
1553,0
1555,0
1557,1
1560,1
1561,1
1563,1
1568,1
1576,0
1577,1
1578,0
1586,1
1588,1
1589,0
1590,0
1592,1
1593,1
1595,0
1600,1
1601,1
1607,0
1609,0
1610,0
1615,1
1618,1
1619,0
1620,1
1621,0
1622,0
1625,0
1628,0
1629,1
1638,1
1642,1
1643,1
1646,1
1647,0
1650,1
1651,0
1661,1
1668,1
1678,1
1679,0
1680,0
1681,1
1682,0
1683,1
1687,0
1689,1
1691,1
1702,0
1712,1
1716,1
1724,1
1727,0
1728,0
1735,1
1737,1
1739,0
1743,0
1747,0
1749,1
1750,1
1751,1
1761,1
1764,1
1770,1
1772,0
1776,1
1777,0
1778,1
1782,0
1785,1
1787,0
1788,0
1791,1
1794,0
1801,1
1807,1
1813,1
1818,1
1819,0
1823,0
1826,1
1827,0
1828,0
1835,1
1837,0
1847,0
1854,1
1857,1
1860,0
1863,0
1865,0
1871,0
1872,0
1875,0
1876,1
1877,0
1879,1
1881,1
1883,0
1886,1
1888,0
1890,1
1896,1
1899,1
1900,1
1903,0
1907,1
1909,1
1911,1
1913,0
1920,1
1922,0
1929,0
1930,0
1933,1
1936,0
1940,1
1941,1
1943,0
1945,0
1947,0
1949,0
1953,0
1956,0
1959,0
1960,1
1961,1
1963,0
1969,0
1970,0
1974,1
1975,0
1978,1
1981,0
1982,0
1988,1
1989,1
1991,0
1993,1
1995,1
2000,1
2001,0
2002,0
2003,1
2012,0
2013,0
2014,1
2017,0
2022,1
2027,0
2029,0
2031,1
2032,1
2033,1
2034,1
2038,0
2042,1
2044,1
2053,1
2057,1
2058,1
2060,1
2063,0
2067,0
2068,0
2074,1
2083,1
2084,1
2087,0
2089,0
2093,1
2099,1
2103,1
2107,0
2110,0
2111,1
2112,1
2117,0
2118,1
2123,1
2128,0
2131,1
2137,1
2138,1
2142,1
2145,0
2146,0
2148,0
2150,1
2152,1
2153,1
2155,0
2156,0
2159,0
2161,1
2163,1
2164,1
2169,0
2176,1
2177,0
2178,1
2179,1
2183,0
2186,1
2188,1
2193,1
2196,0
2203,0
2220,1
2221,0
2222,0
2225,1
2226,1
2228,0
2230,1
2232,0
2236,0
2240,0
2243,0
2244,0
2247,1
2249,1
2252,1
2256,0
2259,1
2265,0
2266,1
2269,0
2274,0
2276,1
2278,0
2282,1
2284,1
2285,1
2288,1
2293,1
2299,1
2309,1
2310,0
2313,0
2315,1
2320,1
2322,1
2327,0
2328,0
2329,1
2331,0
2332,1
2333,1
2343,0
2344,1
2346,1
2352,1
2357,1
2358,1
2359,1
2362,1
2365,1
2366,1
2372,0
2373,1
2379,0
2381,1
2384,1
2388,1
2390,0
2391,1
2398,0
2399,0
2403,1
2405,0
2408,0
2415,0
2416,1
2420,1
2432,1
2434,1
2435,0
2439,0
2440,0
2442,0
2443,0
2445,1
2456,1
2458,1
2462,1
2464,0
2468,1
2474,0
2477,1
2478,1
2481,1
2484,0
2490,1
2492,1
2499,0
2500,0
2512,0
2515,1
2518,1
2519,0
2520,1
2522,0
2524,1
2526,1
2529,0
2533,0
2535,0
2541,0
2546,0
2555,1
2558,0
2563,1
2564,0
2573,1
2579,0
2582,0
2585,1
2589,0
2592,0
2593,0
2597,1
2608,1
2610,0
2612,0
2614,1
2616,1
2620,1
2623,0
2624,1
2625,0
2626,0
2632,0
2634,0
2635,1
2638,0
2640,1
2645,1
2646,0
2653,1
2654,0
2659,0
2660,0
2664,1
2667,0
2668,1
2669,1
2670,1
2672,1
2674,0
2681,0
2682,0
2694,1
2695,0
2697,1
2698,0
2701,1
2702,0
2705,0
2707,1
2712,1
2714,1
2724,0
2725,0
2729,1
2733,1
2741,0
2742,1
2748,1
2756,0
2761,0
2764,0
2766,1
2769,1
2770,0
2775,0
2777,0
2778,0
2781,1
2782,1
2786,0
2788,0
2789,1
2791,1
2795,1
2797,0
2800,0
2803,0
2804,0
2808,1
2813,0
2814,0
2817,0
2823,1
2824,1
2829,0
2832,1
2835,0
2836,0
2840,0
2855,1
2865,0
2867,0
2869,1
2872,1
2873,1
2874,1
2876,0
2878,1
2880,0
2885,0
2886,1
2892,0
2895,1
2897,0
2898,1
2908,0
2912,1
2914,0
2924,0
2928,1
2932,1
2941,1
2946,0
2953,1
2956,1
2957,0
2960,0
2961,0
2962,1
2966,0
2972,0
2973,1
2974,0
2976,0
2978,1
2979,0
2981,1
2983,1
2986,1
2988,0
2995,0
2996,1
2999,0
3010,1
3011,1
3014,1
3016,0
3019,1
3024,0
3025,1
3026,1
3027,0
3033,1
3040,1
3043,0
3044,0
3047,0
3048,0
3050,0
3057,0
3062,0
3068,0
3072,1
3075,1
3085,1
3086,1
3087,1
3088,0
3090,1
3091,0
3093,1
3100,1
3104,1
3106,0
3107,1
3111,1
3112,1
3113,0
3114,1
3119,0
3121,0
3124,0
3125,0
3129,1
3136,0
3140,0
3141,1
3144,1
3147,1
3153,0
3157,0
3158,0
3159,0
3161,1
3167,0
3169,0
3183,1
3185,0
3189,1
3192,0
3193,0
3199,1
3208,1
3211,1
3213,0
3214,1
3221,1
3222,1
3224,1
3228,0
3230,0
3234,0
3237,0
3241,0
3243,1
3245,1
3258,1
3263,0
3266,0
3267,0
3272,0
3273,0
3274,1
3275,0
3277,0
3280,0
3285,1
3286,0
3291,1
3294,1
3300,0
3303,1
3304,0
3313,1
3314,1
3316,1
3318,0
3319,0
3320,0
3334,1
3336,1
3343,1
3344,1
3346,1
3347,1
3348,0
3349,0
3352,0
3354,0
3356,1
3364,0
3365,1
3367,0
3368,1
3370,0
3375,1
3378,1
3379,0
3381,1
3396,0
3404,0
3407,0
3408,0
3410,0
3412,0
3415,0
3423,1
3426,0
3428,1
3429,0
3434,0
3435,0
3448,1
3449,1
3451,0
3454,0
3459,0
3465,0
3468,1
3472,0
3479,0
3483,1
3488,1
3489,1
3492,0
3495,1
3501,0
3511,1
3514,1
3515,1
3517,0
3519,1
3520,0
3522,0
3525,1
3528,0
3531,0
3543,0
3545,0
3553,0
3555,0
3560,1
3566,0
3567,0
3568,1
3569,0
3574,1
3576,1
3577,0
3583,0
3585,1
3588,1
3589,0
3593,1
3598,1
3601,0
3605,0
3609,0
3621,1
3623,0
3624,1
3625,0
3628,1
3629,1
3630,1
3635,1
3639,1
3644,1
3646,1
3648,1
3650,0
3654,1
3658,1
3661,0
3666,1
3668,1
3671,0
3674,1
3675,0
3677,0
3678,0
3680,0
3688,1
3689,1
3691,0
3692,0
3693,1
3694,1
3702,0
3710,0
3711,1
3714,0
3716,0
3719,1
3724,0
3727,0
3729,1
3730,0
3733,0
3734,0
3736,1
3739,0
3743,0
3747,0
3750,0
3752,1
3754,1
3760,1
3762,1
3764,1
3770,1
3773,0
3776,0
3777,1
3778,1
3782,1
3784,0
3786,0
3789,0
3791,0
3794,0
3795,1
3797,0
3798,1
3799,0
3811,1
3813,0
3815,1
3816,0
3818,1
3819,1
3830,1
3831,1
3836,0
3837,1
3839,1
3843,1
3852,0
3855,1
3862,0
3870,1
3872,0
3874,0
3876,0
3879,0
3882,0
3883,1
3889,1
3891,1
3893,1
3896,1
3898,1
3901,0
3907,0
3911,0
3916,0
3919,0
3921,1
3922,0
3923,0
3925,0
3930,0
3931,0
3932,1
3933,1
3935,1
3939,1
3960,0
3963,1
3964,1
3966,0
3969,1
3974,1
3975,1
3979,0
3982,0
3987,1
3990,1
4001,1
4006,1
4012,1
4014,0
4015,1
4016,0
4018,0
4023,1
4024,1
4028,1
4033,0
4034,1
4036,0
4041,1
4043,1
4044,1
4048,0
4049,1
4051,1
4060,0
4062,0
4067,0
4085,0
4086,1
4088,1
4090,0
4091,1
4093,0
4099,1
4102,0
4103,1
4104,1
4108,1
4116,0
4117,0
4123,1
4128,1
4129,0
4139,1
4144,1
4145,0
4156,0
4162,0
4163,1
4165,0
4166,0
4168,0
4170,1
4176,1
4177,1
4180,0
4182,1
4188,0
4189,1
4190,0
4193,1
4194,1
4197,1
4198,0
4202,1
4205,0
4210,0
4214,1
4218,1
4219,0
4225,1
4227,1
4228,0
4229,0
4230,0
4231,0
4232,0
4233,1
4237,1
4239,1
4240,1
4243,0
4246,1
4247,0
4250,0
4251,1
4254,1
4258,1
4261,1
4263,0
4269,0
4271,0
4274,1
4279,0
4280,1
4285,0
4286,1
4287,1
4288,1
4293,0
4300,0
4308,0
4309,1
4310,0
4313,1
4314,1
4315,0
4322,0
4327,1
4328,0
4329,0
4330,1
4335,0
4337,0
4338,0
4340,0
4346,0
4351,1
4373,0
4374,1
4375,1
4380,1
4382,0
4386,0
4389,1
4390,1
4394,0
4395,1
4398,1
4400,1
4408,0
4411,0
4413,1
4417,1
4419,1
4420,1
4421,0
4425,1
4426,1
4427,0
4428,1
4449,1
4450,1
4451,0
4459,0
4461,1
4462,0
4465,0
4469,0
4471,1
4472,1
4476,1
4479,0
4484,0
4485,1
4488,1
4489,0
4493,1
4497,1
4503,0
4504,0
4506,0
4508,0
4514,0
4520,0
4523,0
4525,0
4526,0
4530,1
4532,1
4534,1
4539,0
4540,1
4542,1
4543,1
4545,0
4546,0
4552,1
4555,1
4557,1
4561,0
4565,0
4569,0
4578,0
4581,1
4585,0
4587,1
4589,1
4592,0
4598,1
4603,0
4606,1
4611,0
4615,1
4618,0
4622,1
4624,1
4627,1
4628,1
4630,1
4632,1
4637,0
4646,0
4648,0
4649,1
4653,0
4654,1
4655,1
4660,1
4662,1
4663,0
4664,1
4666,1
4667,0
4669,1
4670,1
4672,0
4673,0
4678,1
4684,1
4688,0
4694,1
4695,1
4698,0
4701,0
4703,0
4706,1
4712,0
4714,1
4717,0
4723,0
4724,1
4725,1
4727,1
4734,0
4735,1
4736,0
4738,0
4739,0
4740,1
4751,1
4752,1
4754,1
4758,0
4761,0
4764,1
4774,1
4779,0
4780,1
4788,0
4790,1
4793,0
4800,1
4801,0
4806,0
4811,1
4812,1
4817,1
4820,0
4827,1
4831,1
4836,0
4837,1
4838,1
4843,1
4844,0
4846,0
4854,0
4855,1
4857,1
4860,0
4861,1
4862,1
4866,1
4869,1
4872,0
4873,1
4874,1
4876,1
4877,0
4878,0
4881,0
4882,1
4884,0
4887,1
4889,0
4890,1
4893,0
4894,1
4895,1
4902,1
4904,1
4912,0
4913,0
4920,1
4921,0
4925,1
4928,1
4930,1
4933,0
4940,1
4942,0
4947,1
4954,1
4957,0
4958,0
4962,1
4963,1
4968,0
4970,0
4973,0
4976,1
4978,0
4981,1
4983,1
4988,0
4995,0
4999,1
5001,0
5004,0
5005,1
5007,1
5008,1
5010,1
5012,0
5014,0
5020,1
5024,1
5025,1
5026,1
5029,0
5030,1
5035,0
5038,1
5039,1
5043,0
5049,0
5050,0
5051,1
5054,0
5057,0
5059,1
5062,1
5089,0
5090,1
5096,1
5097,1
5099,0
5101,0
5104,0
5112,0
5116,1
5119,1
5120,1
5123,0
5127,0
5130,0
5132,1
5133,0
5135,1
5140,0
5142,0
5145,1
5146,0
5147,1
5150,1
5152,0
5170,1
5171,1
5181,0
5183,0
5184,1
5186,1
5188,1
5189,0
5196,1
5199,1
5201,1
5202,0
5203,0
5211,1
5212,0
5218,1
5220,1
5221,1
5226,0
5227,0
5234,1
5236,0
5240,1
5241,1
5243,0
5244,0
5245,1
5249,0
5261,0
5263,1
5264,0
5269,1
5272,1
5275,1
5276,0
5277,0
5278,0
5280,1
5283,1
5287,1
5290,1
5292,1
5293,1
5306,1
5314,0
5318,1
5321,1
5322,1
5324,1
5326,1
5327,1
5332,1
5336,0
5344,0
5347,1
5354,0
5355,1
5357,1
5368,1
5370,1
5373,0
5379,1
5392,1
5393,1
5395,1
5397,1
5398,0
5400,1
5403,1
5406,1
5408,1
5417,0
5422,0
5423,0
5427,0
5430,0
5431,1
5435,0
5437,1
5438,0
5439,1
5444,0
5448,0
5450,1
5457,1
5458,0
5462,0
5463,1
5465,1
5466,0
5468,0
5472,1
5481,1
5482,0
5483,0
5487,0
5492,1
5502,0
5504,1
5506,1
5508,0
5509,0
5517,0
5519,1
5523,0
5524,1
5525,1
5526,1
5534,1
5537,0
5540,1
5546,0
5548,1
5553,1
5554,1
5555,1
5556,1
5559,1
5571,1
5574,0
5576,0
5577,0
5587,1
5603,0
5605,1
5607,1
5610,1
5612,1
5616,1
5618,1
5620,1
5622,0
5624,1
5625,0
5626,1
5630,0
5631,1
5639,0
5640,1
5642,0
5647,1
5649,0
5657,1
5658,1
5659,0
5664,1
5671,1
5675,1
5676,0
5677,0
5678,1
5681,1
5686,0
5689,1
5699,1
5710,0
5722,1
5723,1
5725,1
5726,1
5728,0
5730,1
5731,1
5734,1
5738,1
5740,1
5745,0
5749,1
5751,0
5752,0
5756,0
5757,1
5758,1
5759,0
5763,1
5765,0
5767,0
5768,1
5773,0
5777,0
5780,1
5781,1
5783,0
5786,0
5792,0
5804,0
5806,0
5809,0
5818,1
5829,1
5832,1
5834,0
5835,0
5836,0
5838,0
5840,0
5843,0
5844,0
5846,1
5848,1
5852,1
5854,1
5855,1
5858,0
5863,1
5865,1
5869,0
5870,0
5872,1
5875,1
5876,1
5879,1
5882,1
5889,1
5908,1
5909,0
5911,0
5918,0
5920,1
5923,1
5928,0
5930,0
5934,0
5935,0
5939,0
5950,1
5951,1
5957,1
5958,0
5959,1
5961,1
5962,1
5968,0
5970,1
5972,0
5979,0
5981,1
5987,0
5989,1
5993,0
5995,1
6000,1
6003,0
6006,1
6012,0
6014,0
6015,1
6016,0
6017,1
6023,1
6029,0
6030,1
6039,1
6045,0
6052,1
6054,0
6061,1
6063,1
6065,1
6067,0
6071,1
6072,1
6079,1
6085,1
6087,0
6094,1
6096,1
6097,1
6109,1
6111,1
6113,1
6118,1
6119,1
6123,1
6124,1
6135,1
6137,1
6138,1
6142,1
6143,1
6144,0
6145,1
6146,1
6158,1
6160,0
6161,1
6162,1
6164,0
6165,0
6178,1
6184,0
6185,0
6196,1
6201,1
6203,0
6211,1
6212,1
6213,0
6218,1
6221,0
6227,1
6228,1
6234,1
6251,1
6254,1
6264,1
6267,0
6269,1
6270,0
6271,0
6273,1
6279,0
6284,0
6292,1
6294,0
6296,1
6299,1
6301,1
6302,1
6306,0
6307,1
6312,1
6322,0
6323,1
6324,1
6330,1
6331,0
6332,1
6333,1
6339,1
6343,1
6346,1
6347,0
6350,1
6365,0
6373,0
6374,0
6378,0
6380,0
6381,1
6383,0
6384,1
6388,0
6389,1
6393,0
6394,1
6402,0
6405,1
6412,1
6413,1
6423,1
6424,1
6439,0
6445,1
6447,1
6449,0
6450,0
6454,0
6456,1
6457,1
6458,1
6459,0
6465,0
6466,1
6467,1
6469,1
6471,1
6472,1
6476,0
6477,1
6482,1
6486,1
6489,0
6491,0
6493,1
6501,1
6503,1
6512,1
6515,1
6517,1
6518,1
6519,0
6521,1
6522,1
6527,1
6534,0
6535,1
6541,0
6542,0
6546,1
6549,1
6553,0
6556,1
6557,0
6564,0
6569,1
6572,1
6577,1
6581,1
6583,1
6585,1
6588,0
6589,0
6592,1
6593,1
6595,1
6596,1
6597,1
6598,1
6599,0
6600,0
6603,1
6605,0
6606,1
6613,1
6614,1
6616,0
6618,1
6622,1
6623,1
6624,1
6625,0
6626,1
6630,0
6631,0
6632,0
6642,0
6646,1
6651,1
6654,1
6655,1
6658,0
6659,1
6660,1
6661,1
6668,1
6678,0
6679,1
6680,1
6681,1
6683,1
6684,1
6686,1
6696,1
6698,0
6700,0
6705,1
6707,0
6713,0
6718,0
6724,0
6725,1
6726,1
6729,0
6730,0
6741,1
6743,0
6755,0
6757,0
6759,1
6760,0
6765,1
6766,1
6767,1
6773,0
6774,1
6776,0
6778,0
6784,0
6786,1
6788,0
6789,1
6798,0
6801,1
6803,0
6805,0
6807,0
6810,1
6812,0
6815,1
6824,1
6827,0
6831,1
6838,0
6839,0
6841,1
6842,0
6846,0
6848,1
6849,1
6850,0
6854,1
6857,0
6862,0
6867,1
6869,1
6870,1
6873,0
6875,0
6876,0
6879,1
6881,0
6889,0
6890,0
6891,1
6892,0
6893,0
6895,0
6905,0
6906,0
6909,0
6910,1
6911,0
6912,0
6914,1
6915,0
6917,0
6919,1
6921,1
6926,1
6931,0
6936,1
6939,0
6941,0
6943,1
6944,0
6950,1
6951,1
6957,1
6958,1
6959,1
6964,1
6970,0
6972,1
6975,1
6977,0
6985,1
6986,0
6994,0
6995,0
7006,0
7015,1
7024,0
7027,0
7028,1
7032,1
7037,0
7039,1
7041,1
7044,1
7046,0
7048,1
7054,0
7057,1
7059,1
7060,1
7061,1
7064,0
7071,1
7073,1
7075,1
7077,0
7079,0
7081,1
7100,0
7101,0
7103,0
7106,1
7113,1
7115,0
7117,0
7122,0
7123,0
7125,0
7131,0
